State,Percentage,Date
Michoacán de Ocampo,1.8510605,2022/09/01
Michoacán de Ocampo,1.66850746,2022/12/01
Michoacán de Ocampo,1.66122972,2023/03/01
Michoacán de Ocampo,1.99521023,2023/06/01
Michoacán de Ocampo,1.96522439,2023/09/01
Morelos,1.94705988,2020/03/01
Morelos,4.483617314,2020/06/01
Morelos,2.72547439,2020/09/01
Morelos,2.42372608,2020/12/01
Morelos,2.0088,2021/03/01
Morelos,2.5584,2021/06/01
Morelos,2.457,2021/09/01
Morelos,2.38563213,2021/12/01
Morelos,1.8584,2022/03/01
Morelos,2.12955527,2022/06/01
Morelos,2.39592541,2022/09/01
Morelos,2.72604252,2022/12/01
Morelos,1.4575937,2023/03/01
Morelos,1.81078758,2023/06/01
Morelos,2.33036086,2023/09/01
Nayarit,3.71127644,2020/03/01
Nayarit,5.888560169,2020/06/01
Nayarit,5.21591623,2020/09/01
Nayarit,4.03883544,2020/12/01
Nayarit,2.6523,2021/03/01
Nayarit,2.8048,2021/06/01
Nayarit,3.3843,2021/09/01
Nayarit,2.61016288,2021/12/01
Nayarit,2.9603,2022/03/01
Nayarit,2.46998995,2022/06/01
Nayarit,2.75796275,2022/09/01
Nayarit,2.38037886,2022/12/01
Nayarit,1.90105264,2023/03/01
Nayarit,2.14951517,2023/06/01
Nayarit,2.30656884,2023/09/01
Nuevo León,3.74490065,2020/03/01
Nuevo León,4.361534383,2020/06/01
Nuevo León,5.25984246,2020/09/01
Nuevo León,4.22835307,2020/12/01
Nuevo León,4.8713,2021/03/01
Nuevo León,4.7039,2021/06/01
Nuevo León,4.6192,2021/09/01
Nuevo León,3.74577424,2021/12/01
Nuevo León,4.2039,2022/03/01
Nuevo León,3.69941541,2022/06/01
Nuevo León,4.06228081,2022/09/01
Nuevo León,3.57181149,2022/12/01
Nuevo León,3.12374726,2023/03/01
Nuevo León,3.37416525,2023/06/01
Nuevo León,3.21641386,2023/09/01
Oaxaca,1.70744062,2020/03/01
Oaxaca,3.682349706,2020/06/01
Oaxaca,3.05911676,2020/09/01
Oaxaca,1.69948196,2020/12/01
Oaxaca,1.5342,2021/03/01
Oaxaca,1.6093,2021/06/01
Oaxaca,1.7496,2021/09/01
Oaxaca,1.51448805,2021/12/01
Oaxaca,1.5727,2022/03/01
Oaxaca,1.44446774,2022/06/01
Oaxaca,1.40694004,2022/09/01
Oaxaca,1.28337521,2022/12/01
Oaxaca,1.35270949,2023/03/01
Oaxaca,1.22087151,2023/06/01
Oaxaca,1.93502967,2023/09/01
Puebla,2.80175118,2020/03/01
Puebla,3.694342206,2020/06/01
